,1000,10071,19143,28214,37286,46357,55429,64500,73571,82643,91714,100786,109857,118929,128000
0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,5.5,5.5,0.0
14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,6.5,10.0,0.0,0.0,6.5,5.5
21,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.5,6.5,4.0,0.0
29,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.5,10.0,6.5,10.0,6.5,10.0
36,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.5,10.0,10.0,10.0,10.0,6.5,10.0
43,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.5,10.0,6.5,10.0,5.5,6.5
50,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,10.0
57,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
64,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
71,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
79,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.5
86,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.5
93,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
100,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
